id,type,a1,a2,a3,a4,a5,a6,a7,a8,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,will
344,2,83.93,85.63,85.17,84.72,82.78,86.14,82.35,85.54,1,16,1,10,3,1,1,1989,5,7,5,4,50,29,38,0,0,1
356,2,84.32,79.07,81.41,81.93,77.76,78.1,77.97,74.44,2,39,2,15,5,6,1,1981,6,19,3,2,25,14,10,0,0,1
379,2,85.57,88.67,92.53,93.46,81.31,88.35,91.21,91.77,1,5,1,2,3,2,0,1994,4,3,5,8,10,6,9,0,0,1
386,2,86.35,81.09,81.56,81.93,83.85,80.52,84.31,81.87,2,32,1,11,3,5,1,1988,5,8,6,3,30,18,11,0,0,1
388,2,88.92,88.92,88.92,88.88,88.87,88.88,88.88,88.87,2,15,1,8,3,5,1,1989,6,8,3,4,18,11,13,0,0,1
400,2,86.7,83.24,81.56,85.19,85.85,86.14,84.31,84.77,2,32,2,6,2,3,0,1988,4,8,4,7,20,11,15,0,7,1
423,2,86.35,86.49,74.05,81.45,85.63,88.88,88.88,85.2,2,30,2,5,3,2,0,1990,6,6,6,4,25,15,20,0,0,1
433,2,98.93,90.18,92.67,89.77,95.13,85.81,84.49,84.77,2,34,1,6,3,5,1,1987,6,10,5,4,20,15,8,0,0,1
465,2,85.37,80.81,81.56,81.93,77.76,83.06,82.35,81.87,2,15,1,10,3,5,1,1990,6,6,3,7,36,12,18,0,0,1
470,2,87.07,86.89,88.92,85.61,85.63,80.85,88.88,84.77,1,8,1,2,4,4,0,1987,5,8,4,9,30,15,15,0,0,1
496,1,86.09,92.48,85.17,88.45,84.02,86.14,86.54,92.55,2,10,1,8,5,6,1,1985,6,10,6,3,22,11,13,10,0,1
541,1,85.78,80.23,88.92,88.88,87.09,86.34,88.88,84.77,2,38,1,20,3,5,1,1982,6,14,6,3,40,35,36,15,0,1
552,1,82.41,82.63,85.17,81.45,85.63,80.85,82.35,81.44,2,31,1,6,5,6,1,1989,5,8,6,2,27,14,11,0,0,1
590,2,84.86,90.45,85.31,88.88,84.02,83.6,90.98,81.44,2,27,1,5,2,3,0,1992,6,6,6,8,15,8,8,0,0,1
675,1,99.04,88.95,92.67,96.72,88.65,96.92,95.42,92.98,1,13,1,5,3,5,1,1988,6,8,3,3,30,20,26,10,0,1
698,1,94.45,90.18,88.92,92.56,88.87,88.88,88.88,99.98,1,10,1,3,3,2,0,1994,6,3,4,8,12,6,8,0,0,1
766,2,85.97,80.23,81.56,88.88,88.87,88.88,77.77,77.76,1,8,2,7,3,5,1,1989,5,7,5,7,18,14,12,0,5,1
797,2,83.21,83.48,85.17,81.93,81,80.52,84.44,81.87,2,26,2,2,3,2,0,1994,5,2,1,8,30,8,25,0,0,1
808,2,88.92,88.92,88.92,88.88,88.87,88.88,88.88,88.87,2,29,2,6,2,3,0,1990,6,8,6,4,30,20,25,5,0,1
811,2,88.92,89.68,85.17,85.61,88.87,86.14,84.44,88.87,2,29,1,5,3,5,1,1991,6,6,4,2,35,20,10,0,0,1
814,2,88.92,88.92,88.92,88.88,88.87,88.88,88.88,88.87,2,29,2,6,2,3,0,1982,3,16,6,4,34,13,15,15,0,1
815,2,88.92,88.92,88.92,88.88,88.87,88.88,88.88,88.87,2,28,1,4,3,5,1,1980,5,18,5,6,31,20,19,0,0,1
824,2,88.92,88.92,88.92,88.88,88.87,88.88,88.88,88.87,2,28,1,3,3,5,1,1980,5,17,4,2,41,16,27,0,0,1
838,2,99.04,99.03,99.03,95.82,88.87,94.17,91.16,92.55,2,25,2,15,3,5,1,1976,5,22,4,7,31,15,17,15,0,1
842,2,86.7,88.92,85.17,84.72,77.93,80.52,86.59,84.77,2,38,1,12,3,5,1,1982,3,13,4,2,30,15,18,0,0,1
856,2,87.27,87.04,81.56,89.3,87.57,85.81,86.54,81.02,2,30,1,6,4,6,1,1989,6,6,6,4,16,10,13,0,0,1
866,2,82.82,86.89,81.56,85.61,85.63,85.81,88.88,84.77,2,34,1,5,4,5,2,1984,6,11,6,2,38,22,30,0,0,1
902,2,88.92,86.89,88.92,88.88,85.79,88.88,84.44,88.87,1,10,1,5,3,2,0,1991,6,4,4,4,20,11,18,0,0,1
903,2,88.92,88.92,85.17,88.88,88.87,88.88,88.88,88.87,2,31,1,7,3,5,1,1988,6,8,6,2,20,12,15,0,0,1
967,2,85.78,83.48,88.92,82.35,90.17,83.6,86.6,76.99,2,8,2,8,6,6,2,1990,6,7,7,9,30,20,15,0,0,1
968,2,87.81,86.89,88.92,93.03,87.09,80.52,88.88,88.87,1,8,2,5,6,5,2,1992,6,5,4,8,30,25,15,0,0,1
1016,2,92.48,79.62,85.17,81.45,83.85,72.49,77.77,74.09,2,26,2,5,5,6,1,1993,6,3,6,8,15,5,7,0,0,1
1027,2,87.28,83.12,99.03,84.72,78.24,77.98,93.31,89.22,2,18,1,12,3,5,1,1982,5,13,3,6,28,16,17,0,0,1
1031,2,85.04,85.63,85.17,88.88,85.63,88.88,84.31,84.77,2,16,3,9,4,4,0,1985,3,12,7,9,30,25,25,10,10,1
1037,2,93.53,93.22,85.17,96.3,88.81,94.17,91.04,92.2,2,25,1,18,3,5,1,1979,6,19,4,2,23,8,16,0,0,1
1041,2,88.54,83.93,85.17,92.56,87.79,77.77,88.87,84.77,2,40,2,20,5,6,1,1980,4,16,4,2,35,30,30,0,0,1
1174,2,88.92,86.89,85.17,88.88,88.87,83.06,86.79,88.87,1,11,2,9,2,2,0,1989,5,8,7,9,30,20,26,10,10,1
1239,2,91.49,91.35,88.92,93.03,88.87,88.88,88.88,88.87,2,37,1,9,3,5,1,1983,5,14,2,3,28,15,17,0,0,1
1270,2,85.04,84.65,81.56,85.19,82.61,83.6,82.35,84.77,2,37,1,10,4,5,2,1983,6,13,6,2,40,30,36,15,5,1
1303,1,79.84,79.07,85.17,77.77,77.76,74.7,80.07,84.77,2,17,2,10,5,6,1,1985,5,11,7,9,40,24,35,0,0,1
1306,1,81.69,83.6,85.17,81.93,82.24,83.6,79.87,77.76,1,25,2,9,3,5,1,1985,5,12,7,9,24,19,18,0,0,1
1334,2,92.06,92.57,88.92,88.88,91.95,91.63,93.26,81.87,2,29,2,6,3,5,1,1991,6,5,4,4,80,60,50,10,0,1
1364,2,92.68,84.38,92.53,85.14,83.79,83.92,82.33,77.76,2,37,1,8,5,6,1,1982,6,14,5,4,22,14,18,10,10,1
1369,2,90.45,89.9,81.56,88.88,76.46,83.39,84.49,81.87,2,36,1,3,3,5,1,1984,5,8,5,2,20,12,10,0,0,1
1372,2,88.8,84.61,92.67,89.35,90.81,88.55,91.03,85.54,1,16,2,6,4,6,1,1988,5,7,6,2,20,12,15,0,0,1
1378,2,85.78,87.65,81.56,88.88,85.63,85.81,86.79,85.2,2,15,2,7,3,3,1,1989,6,9,7,9,30,25,26,10,10,1
1381,2,81.3,80.23,85.17,81.45,80.61,80.52,77.82,78.11,1,20,4,3,3,5,1,1980,4,15,9,11,30,25,10,0,0,1
1385,2,86.89,86.89,85.17,88.88,88.87,86.14,86.6,84.77,2,12,2,8,3,5,1,1989,5,6,7,9,60,50,40,10,10,1
1395,2,88.38,87.9,85.31,85.61,86.93,86.14,79.88,88.87,2,29,1,5,3,5,1,1991,5,6,5,4,15,8,8,0,0,1
1407,2,80.38,85.63,88.92,81.45,77.76,83.6,84.51,73.66,1,6,1,6,2,3,0,1990,5,8,7,9,40,20,20,0,0,1
1467,2,92.6,96.34,92.67,95.82,91.95,88.88,97.89,92.98,2,28,2,3,3,3,1,1992,6,5,6,8,32,19,17,15,0,1
1477,1,88.92,88.92,88.92,88.88,88.87,88.88,88.88,88.87,2,30,1,5,2,3,0,1989,6,6,3,5,23,12,15,0,0,1
1491,1,89.66,85.22,88.92,82.35,74.75,66.66,84.51,70.41,2,6,1,3,3,5,1,1991,6,6,4,3,14,6,7,20,0,1
1493,1,88.92,88.92,88.92,88.88,88.87,88.88,88.88,88.87,2,30,1,5,2,3,0,1989,6,6,3,5,25,16,11,0,30,1
1495,1,88.92,88.92,88.92,88.88,88.87,88.88,88.88,88.87,2,30,1,5,2,3,0,1989,6,6,3,5,33,12,24,0,0,1
1531,1,81.93,80.34,74.2,84.72,85.79,88.88,82.21,81.09,2,36,1,11,5,6,1,1983,6,15,6,2,40,35,22,0,0,1
1553,1,84.32,81.09,81.56,81.03,81,78.1,77.76,81.09,2,38,1,13,4,5,2,1981,6,17,7,9,26,21,11,0,0,1
1555,1,82.1,85.63,81.41,74.08,77.99,80.52,75.3,78.54,1,11,2,3,4,5,2,1990,5,6,6,4,40,22,28,0,0,1
1556,1,81.12,88.92,88.92,88.88,88.87,88.88,80.05,81.87,2,50,2,30,3,5,1,1970,6,25,6,2,50,40,46,0,0,1
1601,3,81.49,85.63,85.17,77.77,82.78,83.06,82.16,88.87,2,40,1,15,4,5,2,1980,6,15,2,2,30,19,13,0,0,1
1603,3,85.78,86.39,85.17,77.77,87.09,88.88,77.77,85.54,2,38,1,11,5,6,1,1981,6,16,7,9,36,24,30,0,0,1
1618,3,87.81,86.89,85.17,89.77,85.63,86.14,84.49,84.77,2,35,3,9,5,6,2,1985,6,12,5,2,25,15,16,0,0,1
1633,3,84.32,86.52,81.56,85.61,85.79,86.14,86.59,85.54,2,29,1,7,3,5,1,1990,5,7,5,7,40,18,30,14,6,1
1634,3,89.14,86.6,92.53,89.3,90.81,78.31,86.41,76.99,1,15,1,8,3,5,1,1989,5,8,5,2,40,18,30,12,9,1
1651,3,98.19,91.71,85.17,81.45,84.02,86.67,80.07,85.2,1,14,3,10,2,3,0,1991,5,8,7,9,30,12,20,19,6,1
1674,3,96.16,95.58,85.17,93.03,95.13,94.7,88.94,89.65,2,10,2,6,3,5,1,1989,6,7,3,3,28,8,14,0,25,1
1675,3,96.48,98.01,85.17,93.03,87.57,86.14,84.49,88.87,2,10,1,12,5,6,1,1985,6,8,3,7,30,16,20,0,0,1
1676,3,80.58,79.83,85.17,81.03,77.76,86.14,77.77,81.44,2,28,1,7,3,2,0,1992,5,6,4,4,15,9,10,15,10,1
1680,3,81.17,88.92,81.56,81.93,79.54,77.77,84.44,82.22,1,6,2,4,1,1,0,1990,5,6,3,5,50,45,46,10,10,1
1716,1,92.8,97.64,92.67,99.98,88.87,94.7,93.26,99.98,1,10,6,1,3,2,0,1999,4,1,4,7,15,8,9,0,0,1
1795,2,96.16,95.76,92.67,96.72,94.96,97.25,93.46,95.88,2,32,1,7,6,6,2,1988,6,10,3,4,38,15,21,20,0,1
1813,1,81.36,88.02,88.92,85.61,82.08,88.88,84.44,77.76,1,17,1,11,5,6,1,1988,5,10,3,6,40,18,20,0,0,1
1816,1,86.89,85.63,77.81,88.88,84.02,88.88,84.31,84.77,2,25,1,2,3,3,1,1992,6,4,4,7,36,19,30,0,0,1
1852,2,85.04,85.63,81.56,84.72,88.87,86.14,84.49,85.54,2,13,2,8,3,5,1,1988,5,8,8,10,40,30,36,10,10,1
1856,1,82.82,84.65,81.56,88.88,85.63,86.14,82.16,84.77,2,35,1,15,3,5,1,1985,6,12,2,7,35,21,24,0,0,1
1858,1,83.93,85.63,81.56,88.88,82.61,86.14,84.31,84.77,2,35,2,10,3,5,1,1985,6,13,6,4,40,20,25,0,0,1
1859,1,84.5,84.37,81.56,77.77,81,80.85,84.51,85.54,2,35,1,10,3,5,1,1984,6,12,3,4,20,13,10,0,0,1
1867,1,89.9,84.65,85.17,81.93,82.61,83.6,84.49,84.77,2,33,2,8,3,1,1,1987,5,10,4,7,25,15,18,10,0,1
1938,2,85.18,89.32,92.67,81.93,84.02,86.14,86.59,84.77,2,25,1,3,4,2,0,1995,6,3,3,8,29,11,24,14,5,1
1952,2,85.04,84.65,81.56,88.88,85.63,83.06,86.6,85.54,2,8,2,9,3,5,1,1989,6,8,7,9,60,45,40,10,10,1
2,3,88.92,82.95,85.17,85.19,77.76,83.6,82.15,88.87,2,20,1,3,3,5,1,1992,6,5,4,4,18,10,8,0,30,0
3,3,95.05,93.33,77.66,93.03,88.87,94.17,95.6,95.88,2,32,1,8,5,6,1,1988,4,9,5,2,24,10,17,0,0,0
4,3,71.15,76.79,66.69,81.93,66.65,77.77,77.58,76.99,2,34,1,5,3,5,1,1986,6,10,4,7,27,10,10,18,25,0
5,3,70.57,71.65,70.44,74.03,66.65,66.34,62.09,74.44,2,36,1,5,3,5,1,1983,6,13,4,2,25,15,15,0,0,0
6,3,68.73,70.96,70.44,71.24,69.9,72.49,71.24,70.76,1,15,1,6,3,5,1,1985,6,9,3,2,15,10,7,30,5,0
7,3,65.97,71.51,66.69,62.5,67.96,64.12,68.95,63.33,1,15,1,5,3,5,1,1990,6,10,3,3,15,10,7,0,0,0
8,3,59.08,48.15,44.45,60.13,55.55,55.56,40.06,44.43,1,22,6,2,4,4,0,1999,5,1,5,8,22,14,8,20,20,0
9,3,82.8,84.86,81.41,84.72,87.69,83.27,84.52,88.52,2,30,2,5,3,5,1,1986,6,11,1,2,51,34,19,15,20,0
10,3,79.66,80.2,77.81,81.45,73.22,75.03,73.34,74.44,1,16,1,10,6,6,2,1989,4,10,3,2,26,12,15,26,15,0
11,3,77.81,77.8,77.81,77.77,77.76,75.03,77.77,77.76,1,5,1,5,4,5,1,1993,5,3,7,9,10,9,7,35,5,0
12,3,75.42,75.78,62.94,73.61,69.9,71.95,77.77,62.55,2,5,2,5,3,8,0,1970,4,30,4,6,20,8,10,0,25,0
14,3,61.11,76.37,66.69,77.77,55.55,60.84,68.96,70.33,2,12,2,2,3,2,0,1990,6,6,1,8,30,15,12,0,0,0
15,3,85.37,82.63,77.81,84.72,82.61,85.81,88.88,85.54,1,10,1,7,5,6,1,1988,6,9,3,7,38,14,13,0,0,0
16,3,77.81,83.24,70.44,77.77,77.93,75.03,75.66,81.87,2,40,1,12,3,5,1,1980,6,15,5,1,60,50,45,0,0,0
17,3,75.04,76.54,70.44,77.77,66.59,72.49,73.38,73.66,2,35,1,11,5,6,1,1985,4,10,3,3,60,50,45,0,0,0
18,3,67.26,74.8,74.05,70.82,82.78,74.7,71.3,73.66,2,40,2,11,3,5,1,1980,5,16,4,2,50,45,45,0,0,0
19,3,99.04,99.03,99.03,99.98,99.98,99.99,99.99,99.98,2,29,2,8,5,6,1,1990,8,4,4,3,42,26,13,30,20,0
20,3,63.38,51.77,40.7,59.66,53.93,50.59,57.65,47.41,1,2,3,4,3,5,1,1994,6,4,4,8,40,14,21,15,0,0
21,1,71.68,72.41,74.05,69.92,80.84,75.23,73.2,77.34,2,30,1,10,3,5,1,1990,6,8,4,3,25,13,9,40,8,0
22,1,88.92,90.18,88.92,88.88,88.87,88.88,90.98,88.87,2,12,2,4,5,6,1,1987,6,11,3,4,25,7,7,25,25,0
23,1,67.26,67.1,66.69,70.34,69.73,69.74,73.52,66.66,2,5,2,8,3,3,1,1990,6,8,2,2,20,10,15,10,10,0
24,1,93.53,90.94,73.9,88.88,90.65,94.17,95.6,96.65,2,29,1,5,5,6,1,1991,6,6,6,5,23,11,7,15,30,0
26,1,75.53,81.09,62.94,77.77,66.65,74.7,77.77,77.76,1,15,1,20,4,5,2,1979,5,21,1,3,35,15,10,0,0,0
27,1,81.3,90.59,81.56,78.66,71.67,69.74,73.26,85.2,1,8,2,2,4,4,0,1997,6,1,7,9,34,14,8,18,25,0
28,1,89.79,89.57,85.31,92.14,93.89,88.55,88.88,84.77,2,15,1,8,3,5,1,1988,6,9,3,4,30,20,13,10,20,0
29,1,86.35,86.89,88.92,88.88,88.87,88.88,86.6,84.77,2,35,2,10,4,5,2,1985,6,13,4,2,48,19,32,18,0,0
30,1,90.77,88.92,88.92,88.88,91.95,88.88,88.88,88.87,2,14,2,5,5,6,1,1986,6,11,3,4,45,16,14,25,20,0
31,1,78.05,68.36,74.05,70.34,71.51,72.49,71.06,74.44,2,35,3,10,3,5,1,1985,5,12,1,2,11,7,7,12,5,0
33,1,99.04,99.03,99.03,99.98,99.98,99.99,99.99,99.98,2,36,1,10,3,5,1,1983,5,14,4,6,33,12,12,0,35,0
34,1,68.54,69.12,66.69,66.66,66.65,69.41,66.67,66.66,2,5,1,3,2,3,0,1990,5,5,2,2,15,10,10,40,0,0
35,1,83.93,81.46,85.17,84.72,85.79,83.06,84.44,81.09,1,13,2,8,3,5,1,1992,5,3,5,5,22,13,8,0,0,0
36,1,99.04,99.03,99.03,99.98,99.98,99.99,99.99,99.98,2,15,1,5,3,5,1,1990,6,6,1,3,30,20,13,20,15,0
37,1,77.81,77.8,74.05,71.24,77.76,77.77,75.68,77.76,2,11,2,10,3,5,1,1984,6,11,7,9,70,60,45,10,10,0
38,1,75.96,74.24,74.05,85.14,54.24,69.74,80.01,74.44,1,32,1,5,5,6,1,1986,8,10,3,6,14,12,7,30,20,0
39,1,64.45,65.52,48.21,66.66,72.75,63.59,71.04,69.91,2,12,1,5,3,5,1,1975,4,21,4,2,15,10,7,50,10,0
40,1,78.79,75.59,81.41,92.56,71.14,75.56,84.43,74.44,1,30,2,1,2,3,0,1990,6,8,2,3,24,14,12,0,20,0
41,1,79.9,82.07,85.17,85.19,79.45,80.52,75.62,88.87,2,25,3,2,3,2,0,1995,5,1,6,5,23,12,10,0,25,0
42,1,75.78,72.09,74.05,73.61,74.69,71.95,75.68,70.33,2,22,1,5,5,6,1,1987,6,12,2,6,14,10,13,25,0,0
43,1,56.51,48.6,52.11,57.92,53.21,41.57,51.23,56.32,1,20,1,5,3,5,1,1989,5,8,4,3,26,14,10,10,25,0
44,1,71.87,71.51,66.69,74.08,72.97,69.41,66.67,66.66,1,12,1,6,5,6,1,1985,5,12,4,9,50,30,30,20,10,0
46,1,63.2,73.39,59.33,66.66,63.64,72.49,66.67,63.33,1,15,2,21,5,6,1,1975,8,17,3,3,49,11,28,10,0,0
47,1,82.47,83.52,81.56,81.45,85.63,86.14,79.87,85.54,2,35,2,10,3,5,2,1982,6,15,6,2,15,10,10,10,5,0
49,1,62.94,76.54,62.94,79.08,47.98,74.7,77.77,77.76,1,6,1,11,4,6,1,1987,6,11,2,2,20,12,7,0,0,0
50,1,79.12,85.15,85.17,81.45,87.09,83.6,86.53,81.09,2,36,1,5,2,3,0,1984,6,13,5,4,20,12,14,0,0,0
51,1,95.43,99.03,92.67,99.98,95.13,99.99,99.99,92.55,2,29,1,8,3,5,1,1990,8,4,4,2,20,12,7,20,30,0
52,1,68.54,75.37,62.94,71.71,49.29,55.56,70.91,55.12,2,11,1,4,3,5,1,1985,6,11,4,7,25,10,10,20,28,0
53,1,91.49,93.95,73.9,96.72,88.87,88.55,91.16,92.55,2,31,2,6,5,6,1,1989,6,7,6,4,23,11,6,20,30,0
54,1,77.81,80.2,85.17,81.03,80.78,77.77,82.15,85.2,2,39,1,15,3,5,1,1981,5,15,4,1,39,36,30,14,16,0
55,1,78.92,78.56,66.69,77.77,79.54,80.85,80.05,81.44,2,36,1,14,5,6,1,1984,4,14,4,4,30,12,15,30,0,0
56,1,79.84,86.89,85.17,81.03,77.93,77.77,84.44,82.22,1,15,3,6,4,5,2,1982,6,15,7,9,36,12,15,35,5,0
57,1,79.66,88.92,77.81,81.03,82.55,88.88,82.15,88.87,2,15,2,14,5,6,1,1981,4,15,6,4,30,12,26,15,6,0
58,1,99.04,99.03,99.03,99.98,99.98,99.99,99.99,99.98,2,60,1,30,3,5,1,1960,5,38,4,1,35,12,19,15,0,0
59,1,87.09,87.38,74.05,92.56,86.02,86.14,93.14,89.22,1,20,1,3,3,2,0,1990,6,7,5,2,40,20,20,0,0,0
61,2,78.55,77.8,81.56,81.03,82.3,83.6,80.07,81.09,2,15,3,8,4,6,1,1987,5,9,6,3,29,13,10,0,0,0
62,2,81.36,79.91,63.08,74.03,80.94,80.52,70.86,71.54,2,33,1,5,5,6,1,1987,6,10,3,5,13,7,7,30,0,0
63,2,77.81,77.8,77.81,77.77,77.76,77.77,77.77,77.76,2,14,3,8,5,6,1,1986,5,11,3,2,29,13,26,0,0,0
64,2,65.17,64.95,62.94,73.61,63.58,69.74,71.1,59.23,1,29,1,3,5,6,1,1991,6,6,2,4,12,5,7,15,0,0
66,2,66.15,67.38,55.58,71.24,67.96,60.84,64.49,62.55,2,32,1,6,2,3,0,1987,6,8,4,4,18,10,10,0,25,0
68,2,75.96,77.04,70.44,77.77,72.75,71.95,73.2,73.66,1,20,2,12,4,5,2,1980,8,15,6,3,60,50,45,0,0,0
69,2,81.36,80.23,81.56,77.77,81,86.14,82.16,81.87,2,36,2,10,4,5,2,1984,6,11,5,2,29,15,13,0,0,0
70,2,82.41,73.54,74.05,88.88,72.91,74.7,79.86,81.87,1,20,2,1,3,5,1,1988,6,10,4,2,20,12,15,15,0,0
71,2,74.25,77.04,66.69,77.77,77.76,80.85,77.76,81.09,1,10,1,10,3,5,1,1980,4,15,4,1,20,10,15,0,0,0
73,2,83.52,79.07,74.05,81.93,79.23,74.7,84.31,81.09,2,10,2,7,5,6,1,1984,6,10,6,4,20,8,6,30,25,0
74,2,79.84,88.92,77.81,88.88,77.76,86.14,88.88,77.76,2,35,2,6,3,5,1,1985,6,13,3,2,27,20,20,0,0,0
75,2,81.69,85.63,74.05,70.4,71.51,80.85,77.77,77.76,1,8,2,14,3,5,1,1985,5,11,6,6,20,5,16,0,0,0
76,2,93.91,88.36,85.17,88.88,88.65,91.63,93.27,91.77,2,25,1,18,3,5,1,1979,5,17,4,2,20,8,7,18,33,0
77,2,73.39,71.11,77.81,66.66,69.67,69.41,73.34,70.33,2,45,4,15,2,3,0,1975,5,20,3,4,20,15,18,30,10,0
78,2,76.7,77.8,70.44,77.77,77.76,77.77,77.77,73.66,1,5,1,6,3,5,1,1991,6,7,3,2,20,15,8,40,10,0
80,2,72.22,77.44,70.44,71.24,71.28,77.77,73.38,74.44,2,30,1,10,2,3,0,1990,6,8,5,2,30,24,16,0,0,0
81,2,70.57,74.11,77.81,74.5,75.99,80.52,73.34,70.33,2,34,2,6,4,6,1,1986,6,10,6,2,36,16,25,0,0,0
82,2,77.48,83.24,81.41,78.66,76.05,78.31,75.63,74.44,2,13,2,9,5,6,1,1986,6,10,4,3,30,14,26,12,0,0
83,2,69.83,77.33,77.81,70.82,74.52,75.03,82.35,76.99,2,11,1,6,3,5,1,1987,6,10,3,2,40,35,36,10,5,0
84,2,78.38,81.09,74.2,74.93,84.02,83.06,73.15,78.89,2,12,2,11,3,2,0,1988,6,8,7,9,60,50,45,10,10,0
85,2,83.93,81.09,77.81,85.61,84.02,83.06,84.31,85.54,2,20,2,8,4,6,1,1986,5,11,5,6,22,16,18,0,0,0
86,2,82.8,82.07,81.56,78.19,82.78,83.6,79.86,85.54,2,20,1,4,3,5,1,1992,4,7,4,8,14,8,12,0,0,0
87,2,74.13,80.81,77.81,77.77,84.02,86.14,75.48,73.66,2,16,3,8,4,6,1,1986,5,11,4,4,28,13,25,0,0,0
88,2,80.95,83.89,77.81,85.61,77.76,83.6,84.31,81.44,2,35,1,6,3,5,1,1984,4,10,3,2,20,8,6,20,35,0
89,2,84.32,84.65,81.56,78.66,75.93,83.6,79.93,77.42,2,15,1,3,3,5,1,1989,5,8,4,8,15,9,12,0,0,0
90,2,82.41,83.24,81.56,84.72,84.02,83.06,79.88,77.34,1,27,1,5,2,3,0,1990,6,9,4,5,18,10,13,30,0,0
92,2,70.38,71.79,51.82,74.93,76.15,77.77,79.86,81.52,2,40,1,20,6,6,2,1979,6,20,4,4,18,6,10,0,0,0
93,2,81.73,80.23,74.2,81.45,79.76,86.67,82.14,81.02,2,38,1,15,5,6,1,1983,5,15,6,5,15,9,9,30,20,0
94,2,77.81,73.54,66.69,77.77,71.67,69.74,77.77,74.44,2,25,1,5,3,2,0,1995,4,3,7,9,16,8,10,20,10,0
95,2,84.26,86.08,74.05,89.77,82.78,83.39,84.3,85.2,2,26,2,1,3,2,0,1994,6,4,6,8,20,8,14,0,0,0
96,2,88.92,82.66,88.92,81.45,87.09,83.06,80.07,85.54,2,35,1,15,4,6,2,1985,5,15,3,4,20,15,9,30,10,0
97,2,73.93,70.86,59.33,66.66,69.9,77.77,64.57,74.44,2,30,2,8,3,5,1,1989,6,8,4,2,26,13,12,20,20,0
98,2,74.85,79.69,66.69,81.93,79.17,69.41,59.92,70.33,2,13,2,5,5,6,1,1982,6,15,6,6,22,8,9,20,25,0
99,2,64.64,59.99,40.7,62.97,69.84,55.56,60.13,62.98,2,12,2,7,5,6,1,1990,4,7,6,4,20,8,7,20,30,0
100,2,82.8,79.47,81.56,84.72,81,83.06,7.88,78.11,1,7,2,9,3,2,0,1989,6,7,7,9,60,55,50,10,10,0
101,2,72.22,75.78,77.81,69.92,74.75,69.41,71.24,73.66,2,12,2,9,4,2,0,1989,6,8,7,9,60,50,40,10,10,0
102,2,81.69,79.87,74.05,77.77,79.54,77.77,80.05,81.87,2,23,1,10,4,4,0,1982,8,16,1,2,50,40,35,25,10,0
